Datetime,Adj Close,Close,High,Low,Open,Volume
2026-03-16 13:30:00+00:00,151.3125,151.3125,152.6385955810547,150.64999389648438,151.86000061035156,1443463
2026-03-16 14:30:00+00:00,151.59500122070312,151.59500122070312,151.77999877929688,151.02999877929688,151.32000732421875,670864
2026-03-16 15:30:00+00:00,150.90499877929688,150.90499877929688,151.64500427246094,150.67999267578125,151.5850067138672,557640
2026-03-16 16:30:00+00:00,151.69000244140625,151.69000244140625,151.74000549316406,150.9199981689453,150.9199981689453,502137
2026-03-16 17:30:00+00:00,151.7899932861328,151.7899932861328,151.88499450683594,151.41000366210938,151.69189453125,599777
2026-03-16 18:30:00+00:00,151.94000244140625,151.94000244140625,152.08999633789062,151.57000732421875,151.77630615234375,706610
2026-03-16 19:30:00+00:00,152.11000061035156,152.11000061035156,152.19500732421875,151.67999267578125,151.94000244140625,859638
2026-03-17 13:30:00+00:00,152.9550018310547,152.9550018310547,153.1199951171875,152.25,153.00999450683594,825062
2026-03-17 14:30:00+00:00,153.25999450683594,153.25999450683594,153.4600067138672,152.8800048828125,152.99000549316406,490004
2026-03-17 15:30:00+00:00,152.90499877929688,152.90499877929688,153.32000732421875,152.69869995117188,153.27499389648438,499114
2026-03-17 16:30:00+00:00,152.02999877929688,152.02999877929688,153.05999755859375,151.97999572753906,152.89500427246094,448338
2026-03-17 17:30:00+00:00,151.81649780273438,151.81649780273438,152.05999755859375,151.64999389648438,152.02000427246094,376986
2026-03-17 18:30:00+00:00,151.77499389648438,151.77499389648438,152.00999450683594,151.67999267578125,151.75999450683594,517153
2026-03-17 19:30:00+00:00,151.49000549316406,151.49000549316406,151.80999755859375,151.1999969482422,151.77999877929688,981101
2026-03-18 13:30:00+00:00,148.60000610351562,148.60000610351562,149.61990356445312,148.13999938964844,149.30499267578125,1389952
2026-03-18 14:30:00+00:00,147.6199951171875,147.6199951171875,148.5800018310547,147.36000061035156,148.5800018310547,974372
2026-03-18 15:30:00+00:00,147.7949981689453,147.7949981689453,148.2050018310547,147.46499633789062,147.63999938964844,615982
2026-03-18 16:30:00+00:00,147.9149932861328,147.9149932861328,148.28919982910156,147.6510009765625,147.80499267578125,671934
2026-03-18 17:30:00+00:00,147.38999938964844,147.38999938964844,148.00999450683594,147.22500610351562,147.91000366210938,737127
2026-03-18 18:30:00+00:00,146.52000427246094,146.52000427246094,147.4199981689453,146.4600067138672,147.39999389648438,1124449
2026-03-18 19:30:00+00:00,146.6999969482422,146.6999969482422,147.02499389648438,146.46499633789062,146.52999877929688,1430550
