Model,CVX,NVDA,PG
ARIMA,0.0,0.0,0.5416666666666666
Drift,0.4166666666666667,0.5625,0.5416666666666666
Ensemble,0.4166666666666667,0.5625,0.5208333333333334
GBM,0.4166666666666667,0.5625,0.5416666666666666
GradientBoosting,0.5625,0.6458333333333334,0.5625
Naive,0.0,0.0,0.0
RandomForest,0.3541666666666667,0.5416666666666666,0.5625
Ridge,0.5833333333333334,0.5,0.5
