n,Pearson,Pearson_p,Spearman,Spearman_p,Beta,R2,Proxy
21,0.7160384573208283,0.00026177489826178564,0.612987012987013,0.0031305775706129807,0.34725053169503095,0.5127110723623917,BRENT
21,0.6955018189726623,0.00046448433505145217,0.6844155844155844,0.0006212722335769784,0.29500796931597917,0.48372278019428205,WTI
