Model,CVX,NVDA,PG
ARIMA,1.7442549102160383,2.660036982322224,2.0415313290605086
Drift,3.0868984271768585,1.6278982886286033,2.9710975678520106
Ensemble,2.7008935457838383,1.7126384964732062,2.3419495960748553
GBM,3.041681123591161,1.637777292277669,2.9441008877595145
GradientBoosting,9.483603881035387,3.166760399134347,2.4748463451668976
Naive,1.7442549102160383,2.660036982322224,2.048036224988042
RandomForest,5.88438674231157,2.791279533889404,2.353540849301915
Ridge,7.730730482930363,3.9814819118374416,2.3172510615852353
