Datetime,Adj Close,Close,High,Low,Open,Volume
2026-03-15 22:00:00+00:00,100.0999984741211,100.0999984741211,101.58000183105469,100.02999877929688,101.41000366210938,2279
2026-03-15 23:00:00+00:00,99.30999755859375,99.30999755859375,100.6500015258789,98.91999816894531,100.08999633789062,2141
2026-03-16 00:00:00+00:00,98.27999877929688,98.27999877929688,99.38999938964844,98.27999877929688,99.38999938964844,1759
2026-03-16 01:00:00+00:00,99.72000122070312,99.72000122070312,99.72000122070312,97.68000030517578,98.27999877929688,1369
2026-03-16 02:00:00+00:00,100.05000305175781,100.05000305175781,100.27999877929688,99.2300033569336,99.61000061035156,792
2026-03-16 03:00:00+00:00,100.01000213623047,100.01000213623047,100.18000030517578,99.69000244140625,99.95999908447266,782
2026-03-16 04:00:00+00:00,100.23999786376953,100.23999786376953,100.3499984741211,100.08000183105469,100.11000061035156,362
2026-03-16 05:00:00+00:00,99.44000244140625,99.44000244140625,100.44000244140625,99.36000061035156,100.33000183105469,926
2026-03-16 06:00:00+00:00,99.88999938964844,99.88999938964844,100.55999755859375,99.16000366210938,99.30000305175781,996
2026-03-16 07:00:00+00:00,100.97000122070312,100.97000122070312,101.5,99.5999984741211,99.83000183105469,1813
2026-03-16 08:00:00+00:00,100.48999786376953,100.48999786376953,101.43000030517578,100.25,101.01000213623047,3149
2026-03-16 09:00:00+00:00,100.05999755859375,100.05999755859375,100.94999694824219,99.68000030517578,100.55000305175781,2210
2026-03-16 10:00:00+00:00,98.12999725341797,98.12999725341797,100.13999938964844,98.0999984741211,100.05999755859375,2471
2026-03-16 11:00:00+00:00,98.66999816894531,98.66999816894531,99.05999755859375,97.98999786376953,98.01000213623047,2572
2026-03-16 12:00:00+00:00,97.63999938964844,97.63999938964844,99.0,97.19999694824219,98.66000366210938,6150
2026-03-16 13:00:00+00:00,96.11000061035156,96.11000061035156,98.20999908447266,95.62000274658203,97.62000274658203,8594
2026-03-16 14:00:00+00:00,97.58999633789062,97.58999633789062,97.87999725341797,95.73999786376953,96.13999938964844,5135
2026-03-16 15:00:00+00:00,101.91999816894531,101.91999816894531,102.13999938964844,97.30999755859375,97.62999725341797,5382
2026-03-16 16:00:00+00:00,102.1500015258789,102.1500015258789,103.23999786376953,101.54000091552734,101.88999938964844,5664
