Datetime,Adj Close,Close,High,Low,Open,Volume
2026-03-16 13:30:00+00:00,646.010009765625,646.010009765625,651.5499877929688,642.2000122070312,645.2249755859375,245393
2026-03-16 14:30:00+00:00,642.8300170898438,642.8300170898438,645.7899780273438,639.0,645.6649780273438,170950
2026-03-16 15:30:00+00:00,641.030029296875,641.030029296875,644.5399780273438,640.0599975585938,642.9650268554688,107146
2026-03-16 16:30:00+00:00,644.6099853515625,644.6099853515625,645.1699829101562,640.3900146484375,641.1920166015625,117668
2026-03-16 17:30:00+00:00,644.0650024414062,644.0650024414062,645.4500122070312,643.010009765625,644.8250122070312,86476
2026-03-16 18:30:00+00:00,646.0399780273438,646.0399780273438,646.47998046875,643.0,644.0759887695312,134056
2026-03-16 19:30:00+00:00,645.2100219726562,645.2100219726562,646.3900146484375,643.8499755859375,646.155029296875,195148
2026-03-17 13:30:00+00:00,636.22998046875,636.22998046875,645.0,632.7890014648438,644.9600219726562,241275
2026-03-17 14:30:00+00:00,638.2000122070312,638.2000122070312,639.1500244140625,635.135009765625,636.239990234375,163703
2026-03-17 15:30:00+00:00,636.4199829101562,636.4199829101562,638.7899780273438,635.5,638.489990234375,129539
2026-03-17 16:30:00+00:00,636.60498046875,636.60498046875,638.1727905273438,634.02001953125,636.6500244140625,122540
2026-03-17 17:30:00+00:00,635.625,635.625,637.489990234375,634.5700073242188,636.47998046875,125210
2026-03-17 18:30:00+00:00,636.0499877929688,636.0499877929688,637.0549926757812,635.2899780273438,635.4199829101562,142144
2026-03-17 19:30:00+00:00,636.4349975585938,636.4349975585938,637.6300048828125,635.8800048828125,636.0900268554688,244774
2026-03-18 13:30:00+00:00,640.6799926757812,640.6799926757812,642.8599853515625,636.4500122070312,641.1099853515625,163224
2026-03-18 14:30:00+00:00,639.780029296875,639.780029296875,643.04931640625,639.25,641.0499877929688,102500
2026-03-18 15:30:00+00:00,642.3900146484375,642.3900146484375,642.3900146484375,639.4398193359375,639.4500122070312,67908
2026-03-18 16:30:00+00:00,642.4500122070312,642.4500122070312,645.8499755859375,642.25,642.469970703125,92697
2026-03-18 17:30:00+00:00,643.9852294921875,643.9852294921875,645.0,642.0599975585938,642.3300170898438,71949
2026-03-18 18:30:00+00:00,642.260009765625,642.260009765625,644.5599975585938,641.5,643.739990234375,118246
2026-03-18 19:30:00+00:00,642.2000122070312,642.2000122070312,642.6500244140625,640.7100219726562,642.4500122070312,165766
2026-03-19 13:30:00+00:00,628.030029296875,628.030029296875,640.0,623.75,639.0599975585938,326950
2026-03-19 14:30:00+00:00,628.8300170898438,628.8300170898438,633.2899780273438,627.5499877929688,628.0900268554688,200697
2026-03-19 15:30:00+00:00,633.489990234375,633.489990234375,634.4400024414062,624.02001953125,628.5499877929688,195208
2026-03-19 16:30:00+00:00,635.6799926757812,635.6799926757812,636.0999755859375,632.719970703125,633.5700073242188,134496
2026-03-19 17:30:00+00:00,635.8250122070312,635.8250122070312,638.405029296875,634.110107421875,635.6500244140625,138626
