Model,CVX,NVDA,PG
ARIMA,0.9413107224421614,1.3006050711103643,1.3895070400115224
Drift,1.6606099089063668,0.8004897672248013,2.0236486740977075
Ensemble,1.4531253721534168,0.8381315707826517,1.592379562948352
GBM,1.6362619298992558,0.8060247194178669,2.0051868298707007
GradientBoosting,5.126969441965734,1.5526918658723783,1.6853095069313535
Naive,0.9413107224421614,1.3006050711103643,1.3938703265738908
RandomForest,3.183423488790994,1.3855033302895456,1.6003078681312968
Ridge,4.178338053805616,1.9518615595245568,1.5752955997849205
