Model,CVX,NVDA,PG
ARIMA,184.8300018310547,198.8677978515625,143.36293309518052
Drift,182.78098332024868,201.28573748021347,142.0431223351971
Ensemble,183.23003230189835,200.4954776816605,142.7575446236231
GBM,182.8150611342144,201.35914509226154,142.0705000280542
GradientBoosting,194.78164259198965,198.48611905364123,142.84368284563772
Naive,184.8300018310547,198.8677978515625,143.34500122070312
RandomForest,190.8190475464937,203.12296748372407,142.6759555256899
Ridge,192.662506992378,197.4832249440111,142.73664990716492
